"Article posits that a human-centered design approach can aid in reforming the court system to improve access to civil justice without lawyers. ""Human-centered design is a methodology that begins with a fundamental concern for user experience combined with an experimental and iterative approach to developing new solutions.""",1,1,Margaret Hagan,A Human-Centered Design Approach to Access to Justice: Generating New Prototypes and Hypotheses for Intervention to Make Courts User-Friendly,1,"How can the court system be made more navigable and comprehensible to unrepresented laypeople trying to use it to solve their family, housing, debt, employment, or other life problems? This Article chronicles human-centered design work to generate solutions to this fundamental challenge of access to justice. It presents a new methodology: human-centered design research that can identify key opportunity areas for interventions, user requirements for interventions, and a shortlist of vetted ideas for interventions. This research presents both the methodology and these “design deliverables” based on work with California state courts’ Self Help Centers. It identifies seven key areas for courts to improve their usability, and, in each area, proposes a range of new interventions that emerged from the class’s design work. This research lays the groundwork for pilots and randomized control trials, with its proposed hypotheses and prototypes for new interventions, that can be piloted, evaluated, and — ideally — have a practical effect on how comprehensible, navigable, and efficient the civil court system is.",2018,"7 Access to Justice,7.1 A2J demographics,7.2 A2J gap explanations ,12. Jurisdiction,12.2 United States,12.4 Canada,11 Special Issues,11.4 Non-Lawyer Navigators,10 Solution Type,10.2 Non-Legal Solutions,10.1 Self-Help Solutions,10.8 Non-Lawyer/Roles Beyond Lawyers Solutions,10.6 Technology Solutions,10.7 Advertising Solutions,9 Demographics,9.4 Consumer Behavior,9.1. Financial Demographics,8 Issue Type,8.2 Legal Information Issues,3 Courts & Lawyers ,3.5 Going to court and dealing with procedure,3.6 Information help resources to deal with legal issues,3.7 Legal research,3.8 Representing onself as Pro Se","7, 7.1, 7.2, 12, 12.2, 12.4, 11, 11.4, 10, 10.2, 10.1, 10.8, 10.6, 10.7, 9, 9.4, 9.1, 8, 8.2, 3, 3.5, 3.6, 3.7, 3.8"
"""Courts must coordinate Navigable Pathways, which help people understand the whole sequence of events that will face them during their legal processes, and more effectively assist them through that process.""",0,2,Margaret Hagan,A Human-Centered Design Approach to Access to Justice: Generating New Prototypes and Hypotheses for Intervention to Make Courts User-Friendly,1,"How can the court system be made more navigable and comprehensible to unrepresented laypeople trying to use it to solve their family, housing, debt, employment, or other life problems? This Article chronicles human-centered design work to generate solutions to this fundamental challenge of access to justice. It presents a new methodology: human-centered design research that can identify key opportunity areas for interventions, user requirements for interventions, and a shortlist of vetted ideas for interventions. This research presents both the methodology and these “design deliverables” based on work with California state courts’ Self Help Centers. It identifies seven key areas for courts to improve their usability, and, in each area, proposes a range of new interventions that emerged from the class’s design work. This research lays the groundwork for pilots and randomized control trials, with its proposed hypotheses and prototypes for new interventions, that can be piloted, evaluated, and — ideally — have a practical effect on how comprehensible, navigable, and efficient the civil court system is.",2018,"7 Access to Justice,7.1 A2J demographics,7.2 A2J gap explanations ,12. Jurisdiction,12.2 United States,12.4 Canada,11 Special Issues,11.4 Non-Lawyer Navigators,10 Solution Type,10.2 Non-Legal Solutions,10.1 Self-Help Solutions,10.8 Non-Lawyer/Roles Beyond Lawyers Solutions,10.6 Technology Solutions,10.7 Advertising Solutions,9 Demographics,9.4 Consumer Behavior,9.1. Financial Demographics,8 Issue Type,8.2 Legal Information Issues,3 Courts & Lawyers ,3.5 Going to court and dealing with procedure,3.6 Information help resources to deal with legal issues,3.7 Legal research,3.8 Representing onself as Pro Se","7, 7.1, 7.2, 12, 12.2, 12.4, 11, 11.4, 10, 10.2, 10.1, 10.8, 10.6, 10.7, 9, 9.4, 9.1, 8, 8.2, 3, 3.5, 3.6, 3.7, 3.8"
"""People need more robust Wayfinding Tools to physically orient themselves and navigate through the court, and also to navigate its bureaucratic procedures. People need more user-friendly signage in person and online to assist in this process.""",0,3,Margaret Hagan,A Human-Centered Design Approach to Access to Justice: Generating New Prototypes and Hypotheses for Intervention to Make Courts User-Friendly,1,"How can the court system be made more navigable and comprehensible to unrepresented laypeople trying to use it to solve their family, housing, debt, employment, or other life problems? This Article chronicles human-centered design work to generate solutions to this fundamental challenge of access to justice. It presents a new methodology: human-centered design research that can identify key opportunity areas for interventions, user requirements for interventions, and a shortlist of vetted ideas for interventions. This research presents both the methodology and these “design deliverables” based on work with California state courts’ Self Help Centers. It identifies seven key areas for courts to improve their usability, and, in each area, proposes a range of new interventions that emerged from the class’s design work. This research lays the groundwork for pilots and randomized control trials, with its proposed hypotheses and prototypes for new interventions, that can be piloted, evaluated, and — ideally — have a practical effect on how comprehensible, navigable, and efficient the civil court system is.",2018,"7 Access to Justice,7.1 A2J demographics,7.2 A2J gap explanations ,12. Jurisdiction,12.2 United States,12.4 Canada,11 Special Issues,11.4 Non-Lawyer Navigators,10 Solution Type,10.2 Non-Legal Solutions,10.1 Self-Help Solutions,10.8 Non-Lawyer/Roles Beyond Lawyers Solutions,10.6 Technology Solutions,10.7 Advertising Solutions,9 Demographics,9.4 Consumer Behavior,9.1. Financial Demographics,8 Issue Type,8.2 Legal Information Issues,3 Courts & Lawyers ,3.5 Going to court and dealing with procedure,3.6 Information help resources to deal with legal issues,3.7 Legal research,3.8 Representing onself as Pro Se","7, 7.1, 7.2, 12, 12.2, 12.4, 11, 11.4, 10, 10.2, 10.1, 10.8, 10.6, 10.7, 9, 9.4, 9.1, 8, 8.2, 3, 3.5, 3.6, 3.7, 3.8"
"""When initially engaging with the legal system, people need warm and efficient welcome experiences to encourage them to follow through with the procedure and to give them confidence and dignity while doing so.""",0,4,Margaret Hagan,A Human-Centered Design Approach to Access to Justice: Generating New Prototypes and Hypotheses for Intervention to Make Courts User-Friendly,1,"How can the court system be made more navigable and comprehensible to unrepresented laypeople trying to use it to solve their family, housing, debt, employment, or other life problems? This Article chronicles human-centered design work to generate solutions to this fundamental challenge of access to justice. It presents a new methodology: human-centered design research that can identify key opportunity areas for interventions, user requirements for interventions, and a shortlist of vetted ideas for interventions. This research presents both the methodology and these “design deliverables” based on work with California state courts’ Self Help Centers. It identifies seven key areas for courts to improve their usability, and, in each area, proposes a range of new interventions that emerged from the class’s design work. This research lays the groundwork for pilots and randomized control trials, with its proposed hypotheses and prototypes for new interventions, that can be piloted, evaluated, and — ideally — have a practical effect on how comprehensible, navigable, and efficient the civil court system is.",2018,"7 Access to Justice,7.1 A2J demographics,7.2 A2J gap explanations ,12. Jurisdiction,12.2 United States,12.4 Canada,11 Special Issues,11.4 Non-Lawyer Navigators,10 Solution Type,10.2 Non-Legal Solutions,10.1 Self-Help Solutions,10.8 Non-Lawyer/Roles Beyond Lawyers Solutions,10.6 Technology Solutions,10.7 Advertising Solutions,9 Demographics,9.4 Consumer Behavior,9.1. Financial Demographics,8 Issue Type,8.2 Legal Information Issues,3 Courts & Lawyers ,3.5 Going to court and dealing with procedure,3.6 Information help resources to deal with legal issues,3.7 Legal research,3.8 Representing onself as Pro Se","7, 7.1, 7.2, 12, 12.2, 12.4, 11, 11.4, 10, 10.2, 10.1, 10.8, 10.6, 10.7, 9, 9.4, 9.1, 8, 8.2, 3, 3.5, 3.6, 3.7, 3.8"
"""Redesigning paperwork to be more visually clear, prioritized, and manageable can have a major improvement on people’s ability to use the system well.""",0,5,Margaret Hagan,A Human-Centered Design Approach to Access to Justice: Generating New Prototypes and Hypotheses for Intervention to Make Courts User-Friendly,1,"How can the court system be made more navigable and comprehensible to unrepresented laypeople trying to use it to solve their family, housing, debt, employment, or other life problems? This Article chronicles human-centered design work to generate solutions to this fundamental challenge of access to justice. It presents a new methodology: human-centered design research that can identify key opportunity areas for interventions, user requirements for interventions, and a shortlist of vetted ideas for interventions. This research presents both the methodology and these “design deliverables” based on work with California state courts’ Self Help Centers. It identifies seven key areas for courts to improve their usability, and, in each area, proposes a range of new interventions that emerged from the class’s design work. This research lays the groundwork for pilots and randomized control trials, with its proposed hypotheses and prototypes for new interventions, that can be piloted, evaluated, and — ideally — have a practical effect on how comprehensible, navigable, and efficient the civil court system is.",2018,"7 Access to Justice,7.1 A2J demographics,7.2 A2J gap explanations ,12. Jurisdiction,12.2 United States,12.4 Canada,11 Special Issues,11.4 Non-Lawyer Navigators,10 Solution Type,10.2 Non-Legal Solutions,10.1 Self-Help Solutions,10.8 Non-Lawyer/Roles Beyond Lawyers Solutions,10.6 Technology Solutions,10.7 Advertising Solutions,9 Demographics,9.4 Consumer Behavior,9.1. Financial Demographics,8 Issue Type,8.2 Legal Information Issues,3 Courts & Lawyers ,3.5 Going to court and dealing with procedure,3.6 Information help resources to deal with legal issues,3.7 Legal research,3.8 Representing onself as Pro Se","7, 7.1, 7.2, 12, 12.2, 12.4, 11, 11.4, 10, 10.2, 10.1, 10.8, 10.6, 10.7, 9, 9.4, 9.1, 8, 8.2, 3, 3.5, 3.6, 3.7, 3.8"
"""When in the court building, people need better work stations and materials to get their tasks accomplished, so that they are prepared for the clerk and the judge.""",0,6,Margaret Hagan,A Human-Centered Design Approach to Access to Justice: Generating New Prototypes and Hypotheses for Intervention to Make Courts User-Friendly,1,"How can the court system be made more navigable and comprehensible to unrepresented laypeople trying to use it to solve their family, housing, debt, employment, or other life problems? This Article chronicles human-centered design work to generate solutions to this fundamental challenge of access to justice. It presents a new methodology: human-centered design research that can identify key opportunity areas for interventions, user requirements for interventions, and a shortlist of vetted ideas for interventions. This research presents both the methodology and these “design deliverables” based on work with California state courts’ Self Help Centers. It identifies seven key areas for courts to improve their usability, and, in each area, proposes a range of new interventions that emerged from the class’s design work. This research lays the groundwork for pilots and randomized control trials, with its proposed hypotheses and prototypes for new interventions, that can be piloted, evaluated, and — ideally — have a practical effect on how comprehensible, navigable, and efficient the civil court system is.",2018,"7 Access to Justice,7.1 A2J demographics,7.2 A2J gap explanations ,12. Jurisdiction,12.2 United States,12.4 Canada,11 Special Issues,11.4 Non-Lawyer Navigators,10 Solution Type,10.2 Non-Legal Solutions,10.1 Self-Help Solutions,10.8 Non-Lawyer/Roles Beyond Lawyers Solutions,10.6 Technology Solutions,10.7 Advertising Solutions,9 Demographics,9.4 Consumer Behavior,9.1. Financial Demographics,8 Issue Type,8.2 Legal Information Issues,3 Courts & Lawyers ,3.5 Going to court and dealing with procedure,3.6 Information help resources to deal with legal issues,3.7 Legal research,3.8 Representing onself as Pro Se","7, 7.1, 7.2, 12, 12.2, 12.4, 11, 11.4, 10, 10.2, 10.1, 10.8, 10.6, 10.7, 9, 9.4, 9.1, 8, 8.2, 3, 3.5, 3.6, 3.7, 3.8"
"People working on bringing innovations or improved services to the justice system have begun to employ human-centered design/Research Through design by analyzing a current situation as it is, proposing new interventions and treatments informed by this initial research, and then testing and refining these interventions.",1,7,Margaret Hagan,A Human-Centered Design Approach to Access to Justice: Generating New Prototypes and Hypotheses for Intervention to Make Courts User-Friendly,1,"How can the court system be made more navigable and comprehensible to unrepresented laypeople trying to use it to solve their family, housing, debt, employment, or other life problems? This Article chronicles human-centered design work to generate solutions to this fundamental challenge of access to justice. It presents a new methodology: human-centered design research that can identify key opportunity areas for interventions, user requirements for interventions, and a shortlist of vetted ideas for interventions. This research presents both the methodology and these “design deliverables” based on work with California state courts’ Self Help Centers. It identifies seven key areas for courts to improve their usability, and, in each area, proposes a range of new interventions that emerged from the class’s design work. This research lays the groundwork for pilots and randomized control trials, with its proposed hypotheses and prototypes for new interventions, that can be piloted, evaluated, and — ideally — have a practical effect on how comprehensible, navigable, and efficient the civil court system is.",2018,"7 Access to Justice,7.1 A2J demographics,7.2 A2J gap explanations ,12. Jurisdiction,12.2 United States,12.4 Canada,11 Special Issues,11.4 Non-Lawyer Navigators,10 Solution Type,10.2 Non-Legal Solutions,10.1 Self-Help Solutions,10.8 Non-Lawyer/Roles Beyond Lawyers Solutions,10.6 Technology Solutions,10.7 Advertising Solutions,9 Demographics,9.4 Consumer Behavior,9.1. Financial Demographics,8 Issue Type,8.2 Legal Information Issues,3 Courts & Lawyers ,3.5 Going to court and dealing with procedure,3.6 Information help resources to deal with legal issues,3.7 Legal research,3.8 Representing onself as Pro Se","7, 7.1, 7.2, 12, 12.2, 12.4, 11, 11.4, 10, 10.2, 10.1, 10.8, 10.6, 10.7, 9, 9.4, 9.1, 8, 8.2, 3, 3.5, 3.6, 3.7, 3.8"
"""If the access to justice crisis is in part fueled by a “user experience breakdown,” then a process that focuses on improving this experience and taking the user’s perspective into account might have power to ease this crisis.""",0,8,Margaret Hagan,A Human-Centered Design Approach to Access to Justice: Generating New Prototypes and Hypotheses for Intervention to Make Courts User-Friendly,1,"How can the court system be made more navigable and comprehensible to unrepresented laypeople trying to use it to solve their family, housing, debt, employment, or other life problems? This Article chronicles human-centered design work to generate solutions to this fundamental challenge of access to justice. It presents a new methodology: human-centered design research that can identify key opportunity areas for interventions, user requirements for interventions, and a shortlist of vetted ideas for interventions. This research presents both the methodology and these “design deliverables” based on work with California state courts’ Self Help Centers. It identifies seven key areas for courts to improve their usability, and, in each area, proposes a range of new interventions that emerged from the class’s design work. This research lays the groundwork for pilots and randomized control trials, with its proposed hypotheses and prototypes for new interventions, that can be piloted, evaluated, and — ideally — have a practical effect on how comprehensible, navigable, and efficient the civil court system is.",2018,"7 Access to Justice,7.1 A2J demographics,7.2 A2J gap explanations ,12. Jurisdiction,12.2 United States,12.4 Canada,11 Special Issues,11.4 Non-Lawyer Navigators,10 Solution Type,10.2 Non-Legal Solutions,10.1 Self-Help Solutions,10.8 Non-Lawyer/Roles Beyond Lawyers Solutions,10.6 Technology Solutions,10.7 Advertising Solutions,9 Demographics,9.4 Consumer Behavior,9.1. Financial Demographics,8 Issue Type,8.2 Legal Information Issues,3 Courts & Lawyers ,3.5 Going to court and dealing with procedure,3.6 Information help resources to deal with legal issues,3.7 Legal research,3.8 Representing onself as Pro Se","7, 7.1, 7.2, 12, 12.2, 12.4, 11, 11.4, 10, 10.2, 10.1, 10.8, 10.6, 10.7, 9, 9.4, 9.1, 8, 8.2, 3, 3.5, 3.6, 3.7, 3.8"
"The development of the court system focused primarily on a top-down approach that was focused around historical precedent about how to provide services (“we’ve always done it this way”) and a priority on the system professionals like judges, clerks and, lawyers. As a result, the ""rules, spaces, forms, and other materials of the court have not been made based on the litigants’ needs.""",1,9,Margaret Hagan,A Human-Centered Design Approach to Access to Justice: Generating New Prototypes and Hypotheses for Intervention to Make Courts User-Friendly,1,"How can the court system be made more navigable and comprehensible to unrepresented laypeople trying to use it to solve their family, housing, debt, employment, or other life problems? This Article chronicles human-centered design work to generate solutions to this fundamental challenge of access to justice. It presents a new methodology: human-centered design research that can identify key opportunity areas for interventions, user requirements for interventions, and a shortlist of vetted ideas for interventions. This research presents both the methodology and these “design deliverables” based on work with California state courts’ Self Help Centers. It identifies seven key areas for courts to improve their usability, and, in each area, proposes a range of new interventions that emerged from the class’s design work. This research lays the groundwork for pilots and randomized control trials, with its proposed hypotheses and prototypes for new interventions, that can be piloted, evaluated, and — ideally — have a practical effect on how comprehensible, navigable, and efficient the civil court system is.",2018,"7 Access to Justice,7.1 A2J demographics,7.2 A2J gap explanations ,12. Jurisdiction,12.2 United States,12.4 Canada,11 Special Issues,11.4 Non-Lawyer Navigators,10 Solution Type,10.2 Non-Legal Solutions,10.1 Self-Help Solutions,10.8 Non-Lawyer/Roles Beyond Lawyers Solutions,10.6 Technology Solutions,10.7 Advertising Solutions,9 Demographics,9.4 Consumer Behavior,9.1. Financial Demographics,8 Issue Type,8.2 Legal Information Issues,3 Courts & Lawyers ,3.5 Going to court and dealing with procedure,3.6 Information help resources to deal with legal issues,3.7 Legal research,3.8 Representing onself as Pro Se","7, 7.1, 7.2, 12, 12.2, 12.4, 11, 11.4, 10, 10.2, 10.1, 10.8, 10.6, 10.7, 9, 9.4, 9.1, 8, 8.2, 3, 3.5, 3.6, 3.7, 3.8"
"The court system as experienced by litigants is often intimidating and overwhelming for reasons like excessive use of legal jargon, and complex legal rules.
",1,10,Margaret Hagan,A Human-Centered Design Approach to Access to Justice: Generating New Prototypes and Hypotheses for Intervention to Make Courts User-Friendly,1,"How can the court system be made more navigable and comprehensible to unrepresented laypeople trying to use it to solve their family, housing, debt, employment, or other life problems? This Article chronicles human-centered design work to generate solutions to this fundamental challenge of access to justice. It presents a new methodology: human-centered design research that can identify key opportunity areas for interventions, user requirements for interventions, and a shortlist of vetted ideas for interventions. This research presents both the methodology and these “design deliverables” based on work with California state courts’ Self Help Centers. It identifies seven key areas for courts to improve their usability, and, in each area, proposes a range of new interventions that emerged from the class’s design work. This research lays the groundwork for pilots and randomized control trials, with its proposed hypotheses and prototypes for new interventions, that can be piloted, evaluated, and — ideally — have a practical effect on how comprehensible, navigable, and efficient the civil court system is.",2018,"7 Access to Justice,7.1 A2J demographics,7.2 A2J gap explanations ,12. Jurisdiction,12.2 United States,12.4 Canada,11 Special Issues,11.4 Non-Lawyer Navigators,10 Solution Type,10.2 Non-Legal Solutions,10.1 Self-Help Solutions,10.8 Non-Lawyer/Roles Beyond Lawyers Solutions,10.6 Technology Solutions,10.7 Advertising Solutions,9 Demographics,9.4 Consumer Behavior,9.1. Financial Demographics,8 Issue Type,8.2 Legal Information Issues,3 Courts & Lawyers ,3.5 Going to court and dealing with procedure,3.6 Information help resources to deal with legal issues,3.7 Legal research,3.8 Representing onself as Pro Se","7, 7.1, 7.2, 12, 12.2, 12.4, 11, 11.4, 10, 10.2, 10.1, 10.8, 10.6, 10.7, 9, 9.4, 9.1, 8, 8.2, 3, 3.5, 3.6, 3.7, 3.8"
